n,time
1,2e-06
2,1e-06
3,1e-06
4,1e-06
5,2e-06
6,1e-06
7,1e-06
8,1e-06
9,2e-06
10,5e-06
11,2e-06
12,2e-06
13,2e-06
14,3e-06
15,3e-06
16,3e-06
17,2e-06
18,4e-06
19,3e-06
20,3e-06
21,3e-06
22,3e-06
23,4e-06
24,7e-06
25,6e-06
26,4e-06
27,5e-06
28,5e-06
29,5e-06
30,6e-06
31,5e-06
32,6e-06
33,6e-06
34,7e-06
35,7e-06
36,7e-06
37,8e-06
38,7e-06
39,9e-06
40,9e-06
41,1e-05
42,9e-06
43,1e-05
44,9e-06
45,1e-05
46,1e-05
47,1.2e-05
48,1.3e-05
49,1.1e-05
50,1.3e-05
51,1.3e-05
52,1.5e-05
53,1.2e-05
54,1.9e-05
55,1.4e-05
56,1.7e-05
57,1.8e-05
58,1.7e-05
59,1.8e-05
60,1.9e-05
61,1.8e-05
62,1.9e-05
63,2.3e-05
64,2e-05
65,2.1e-05
66,2e-05
67,2.1e-05
68,2.3e-05
69,2.2e-05
70,2.6e-05
71,2.6e-05
72,2.2e-05
73,2.7e-05
74,2.8e-05
75,2e-05
76,2e-05
77,2.3e-05
78,2.3e-05
79,2e-05
80,2.2e-05
81,2.2e-05
82,2.4e-05
83,2.5e-05
84,2.5e-05
85,2.6e-05
86,3.2e-05
87,2.4e-05
88,2.7e-05
89,2.6e-05
90,2.9e-05
91,2.8e-05
92,1.9e-05
93,1.7e-05
94,2e-05
95,2.1e-05
96,2.1e-05
97,2.5e-05
98,3e-05
99,3e-05
100,5.6e-05
101,3e-05
102,3.2e-05
103,2.9e-05
104,3.5e-05
105,3.2e-05
106,3.3e-05
107,3.5e-05
108,4.1e-05
109,4.8e-05
110,2.5e-05
111,2.6e-05
112,2.6e-05
113,3.1e-05
114,4.7e-05
115,2.7e-05
116,3.4e-05
117,3.2e-05
118,3.2e-05
119,3.2e-05
120,4.6e-05
121,4.7e-05
122,3.4e-05
123,4.6e-05
124,4.8e-05
125,4.6e-05
126,4.9e-05
127,6.6e-05
128,5.4e-05
129,5.2e-05
130,4.1e-05
131,7.3e-05
132,3.7e-05
133,4e-05
134,6.5e-05
135,8.5e-05
136,7.4e-05
137,8.1e-05
138,6.9e-05
139,5.4e-05
140,6e-05
141,4.4e-05
142,5e-05
143,6.3e-05
144,8.3e-05
145,8.8e-05
146,8.7e-05
147,8.9e-05
148,9.1e-05
149,9e-05
150,0.0001
151,4.8e-05
152,6.9e-05
153,4.8e-05
154,4.7e-05
155,5.2e-05
156,5.2e-05
157,5.2e-05
158,5.1e-05
159,5.4e-05
160,5.3e-05
161,5.3e-05
162,5.2e-05
163,5.1e-05
164,6.8e-05
165,6e-05
166,5.6e-05
167,5.5e-05
168,5.7e-05
169,6.3e-05
170,5.7e-05
171,6e-05
172,8e-05
173,5.7e-05
174,6e-05
175,6.4e-05
176,5.6e-05
177,6.6e-05
178,6.4e-05
179,6.2e-05
180,6.8e-05
181,6.6e-05
182,7.3e-05
183,6.4e-05
184,7.1e-05
185,7.1e-05
186,7e-05
187,6.7e-05
188,7.7e-05
189,7.4e-05
190,7.8e-05
191,7.6e-05
192,6.5e-05
193,7.9e-05
194,0.000117
195,0.000103
196,0.000113
197,0.000107
198,7.7e-05
199,7.8e-05
200,7.9e-05
201,8.1e-05
202,8.1e-05
203,8.4e-05
204,8.4e-05
205,0.000111
206,7.4e-05
207,8.5e-05
208,7.9e-05
209,8.1e-05
210,8e-05
211,8.9e-05
212,8.9e-05
213,8.7e-05
214,8.9e-05
215,8.6e-05
216,9.4e-05
217,9.1e-05
218,8.7e-05
219,9.4e-05
220,0.000104
221,9e-05
222,0.00015
223,9.5e-05
224,9.1e-05
225,0.000185
226,0.000159
227,9.6e-05
228,0.000101
229,9.1e-05
230,9.4e-05
231,8.9e-05
232,9.3e-05
233,0.000212
234,0.00013
235,0.000148
236,0.000174
237,0.000152
238,0.000105
239,9.9e-05
240,0.00014
241,0.000122
242,0.000149
243,0.000149
244,0.000134
245,0.000137
246,0.000176
247,0.000165
248,0.000156
249,0.000165
250,0.000175
